CODESTAB,G1V,G1C,G2V,G2C,G3V,G3C,G4V,G4C,G5V,G5C,G6V,G6C,G7V,G7C,G8V,G8C,G9V,G9C,G10V,G10C,SCORE
6273270,3.0,47.0,2.0,11.0,5.0,9.0,5.0,3.0,1.0,32.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,301.0
2079860,2.0,26.0,14.0,1.0,3.0,7.0,5.0,2.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,300.0
2680785,67.0,1111.0,187.0,174.0,118.0,268.0,238.0,50.0,45.0,732.0,4.0,50.0,3.0,41.0,0.0,51.0,0.0,3.0,87.0,167.0,299.0
2084368,15.0,192.0,162.0,199.0,16.0,38.0,156.0,51.0,29.0,281.0,1.0,20.0,1.0,21.0,1.0,62.0,0.0,8.0,60.0,110.0,298.0
3027805,74.0,541.0,81.0,41.0,63.0,133.0,80.0,7.0,28.0,350.0,2.0,20.0,1.0,9.0,2.0,16.0,0.0,2.0,42.0,102.0,297.0
2089564,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,80.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0,296.0
3367371,53.0,262.0,36.0,21.0,62.0,133.0,41.0,12.0,25.0,279.0,6.0,34.0,3.0,29.0,9.0,94.0,0.0,1.0,54.0,132.0,295.0
2080052,0.0,6.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,294.0
2078600,2.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,293.0
2751747,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,292.0
2080850,27.0,127.0,0.0,2.0,34.0,33.0,0.0,0.0,5.0,72.0,0.0,10.0,0.0,6.0,0.0,7.0,0.0,0.0,12.0,31.0,286.0
2040069,1.0,11.0,27.0,6.0,3.0,3.0,6.0,1.0,5.0,13.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,284.0
6936040,416.0,2557.0,165.0,135.0,150.0,134.0,73.0,15.0,73.0,1443.0,5.0,156.0,2.0,69.0,10.0,252.0,1.0,27.0,79.0,417.0,283.0
2080818,12.0,150.0,19.0,13.0,13.0,7.0,18.0,1.0,4.0,91.0,0.0,22.0,0.0,7.0,0.0,16.0,0.0,0.0,8.0,26.0,231.0
2078171,2.0,13.0,25.0,8.0,6.0,5.0,30.0,1.0,2.0,37.0,0.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,5.0,11.0,228.0
2079828,4.0,7.0,43.0,11.0,5.0,7.0,23.0,4.0,4.0,15.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,12.0,7.0,227.0
2078015,13.0,95.0,83.0,117.0,29.0,21.0,96.0,42.0,24.0,191.0,1.0,31.0,2.0,39.0,16.0,108.0,0.0,0.0,56.0,127.0,225.0
6859852,42.0,203.0,235.0,159.0,38.0,37.0,140.0,31.0,58.0,279.0,1.0,20.0,3.0,15.0,4.0,48.0,0.0,1.0,43.0,68.0,224.0
2080028,3.0,2.0,8.0,2.0,5.0,5.0,8.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,11.0,2.0,210.0
2080338,6.0,2.0,10.0,0.0,4.0,4.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,209.0
2058391,165.0,1021.0,145.0,187.0,165.0,35.0,112.0,7.0,42.0,921.0,2.0,116.0,7.0,58.0,16.0,259.0,0.0,1.0,45.0,198.0,208.0
2084163,5.0,15.0,50.0,18.0,15.0,8.0,42.0,4.0,11.0,25.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,27.0,8.0,198.0
2078562,1.0,4.0,71.0,7.0,8.0,1.0,64.0,3.0,8.0,11.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,18.0,4.0,184.0
